country,state,city,station_id,station_type,pollutant,observation_date,year,value,unit,measurement_type,frequency,source
India,Andhra Pradesh,Rajahmundry,AP_RAJAHMUNDRY_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,8,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Srikakulam,AP_SRIKAKULAM_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,20,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Srikakulam,AP_SRIKAKULAM_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,77,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Srikakulam,AP_SRIKAKULAM_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,27,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Srikakulam,AP_SRIKAKULAM_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,9,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Tirupati,AP_TIRUPATI_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,22,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Tirupati,AP_TIRUPATI_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,51,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Tirupati,AP_TIRUPATI_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,27,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Tirupati,AP_TIRUPATI_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,6,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Vijayawada,AP_VIJAYAWADA_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,17,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
